Battery_Used,Version,ElapsedTimestamp
0.01,,80
0.01,,90
0.01,,10
0.14,1.92.0,1031
0.05,1.92.0,300
0.02,1.92.0,299
0.01,1.92.0,241
0.01,1.92.0,173
0.02,1.92.0,705
0.03,1.92.0,1199
0.05,1.92.0,927
0.01,1.90.0,120
0.06,1.90.0,181
0.03,1.90.0,324
0.02,1.90.0,107
0.1,1.90.0,685
0.01,1.90.0,79
0.14,1.90.0,26346
0.1,1.90.0,1048
0.06,1.90.0,405
0.01,1.90.0,64
0.07,1.90.0,63
0.09,1.90.0,81
0.04,1.90.0,468
0.09,1.90.0,634
0.02,1.90.0,182
0.02,1.90.0,121
0.02,1.90.0,1763
0.06,1.90.0,20596
0.01,1.90.0,64
0.05,1.90.0,488
0.19,1.90.0,1220
0.03,1.90.0,30
0.02,1.90.0,330
0.01,1.93.0,757
0.2,1.93.0,784
0.03,1.93.0,138
0.01,1.93.0,346
0.02,1.93.0,90
0.17,1.93.0,690
0.02,1.107.0,240
0.19,1.107.0,54878
0.01,1.107.0,161
0.03,1.14.1,445
0.01,1.14.1,272
0.04,1.14.1,1050
0.02,1.14.1,540
0.12,1.78.0,1621
0.22,1.15.0,1706
0.21,1.15.0,1309
0.01,1.83.0,91
0.01,1.83.0,56
0.02,1.83.0,182
0.13,1.106.1,1201
0.05,1.106.1,964
0.28,1.106.0,35876
0.2,1.106.0,36773
0.04,1.106.0,280
0.08,1.106.0,580
0.02,1.106.0,133
0.37,1.106.0,6259
0.12,1.106.0,800
0.05,1.106.0,200
0.06,1.106.0,399
0.14,1.106.0,10084
0.04,1.106.0,300
0.07,1.106.0,509
0.12,1.106.0,880
0.26,1.106.0,6792
0.03,1.106.0,220
0.01,1.106.0,80
0.08,1.106.0,580
0.09,1.106.0,640
0.14,1.106.0,1053
0.09,1.106.0,626
0.12,1.106.0,1010
0.09,1.106.0,640
0.04,1.106.0,300
0.15,1.106.0,2156
0.06,1.106.0,440
0.01,1.106.0,61
0.04,1.106.0,363
0.03,1.106.0,212
0.07,1.106.0,330
0.04,1.105.0,763
0.04,1.105.0,495
0.01,1.105.0,141
0.02,1.105.0,420
0.01,1.105.0,120
0.04,1.105.0,481
0.02,1.105.0,230
0.01,1.105.0,121
0.04,1.105.0,541
0.01,1.105.0,58
0.15,1.105.0,1060
0.09,1.105.0,628
0.11,1.105.0,890
0.07,1.105.0,460
0.06,1.105.0,300
0.07,1.105.0,490
0.13,1.105.0,905
0.02,1.105.0,139
0.02,1.105.0,140
0.02,1.105.0,120
0.15,1.105.0,1144
0.02,1.105.0,143
0.09,1.105.0,561
0.09,1.105.0,651
0.12,1.105.0,831
0.16,1.105.0,1160
0.05,1.105.0,340
0.12,1.105.0,790
0.15,1.105.0,1068
0.01,1.105.0,80
0.01,1.105.0,79
0.09,1.105.0,664
0.07,1.105.0,493
0.05,1.105.0,388
0.08,1.105.0,581
0.04,1.105.0,280
0.06,1.105.0,420
0.06,1.105.0,440
0.08,1.105.0,916
0.03,1.105.0,204
0.02,1.105.0,140
0.15,1.105.0,1044
0.13,1.105.0,5706
0.02,1.105.0,143
0.03,1.105.0,180
0.04,1.105.0,300
0.17,1.105.0,1280
0.02,1.105.0,160
0.08,1.105.0,2622
0.14,1.105.0,1031
0.02,1.105.0,100
0.02,1.105.0,140
0.14,1.105.0,1750
0.06,1.105.0,86189
0.01,1.105.0,140
0.02,1.105.0,140
0.01,1.105.0,70
0.06,1.105.0,482
0.06,1.105.0,1215
0.19,1.105.0,6820
0.11,1.105.0,470
0.05,1.105.0,350
0.04,1.105.0,280
0.06,1.105.0,300
0.07,1.105.0,260
0.28,1.105.0,15599
0.01,1.105.0,29
0.01,1.105.0,34
0.13,1.105.0,321
0.07,1.105.0,240
0.06,1.100.0,481
0.06,1.100.0,1412
0.06,1.100.0,361
0.06,1.100.0,391
0.09,1.100.0,721
0.11,1.100.0,781
0.03,1.100.0,241
0.08,1.100.0,602
0.14,1.100.0,1042
0.08,1.100.0,601
0.02,1.100.0,500
0.09,1.100.0,896
0.01,1.100.0,14
0.03,1.100.0,108
0.05,1.100.0,2317
0.21,1.100.0,159
0.01,1.100.0,127
0.01,1.100.0,150
0.01,1.100.0,25
0.02,1.100.0,129
0.06,1.100.0,180
0.01,1.100.0,90
0.02,1.100.0,143
0.27,1.100.0,15862
0.01,1.100.0,37
0.06,1.100.0,1655
0.06,1.100.0,34
0.01,1.100.0,3
0.05,1.100.0,206
0.11,1.100.0,872
0.04,1.101.0,481
0.02,1.101.0,304
0.01,1.101.0,100
0.12,1.101.0,490
0.03,1.101.0,210
0.4,1.101.0,1750
0.05,1.101.0,496
0.01,1.101.0,404
0.04,1.101.0,50
0.03,1.101.0,12
0.05,1.101.0,580
0.06,1.101.0,671
0.01,1.101.0,48
0.03,1.101.0,300
0.03,1.101.0,343
0.04,1.101.0,1070
0.05,1.101.0,580
0.04,1.101.0,420
0.03,1.101.0,241
0.01,1.101.0,90
0.08,1.104.0,1834
0.01,1.104.0,105
0.01,1.104.0,43
0.09,1.104.0,994
0.06,1.104.0,63612
0.05,1.104.0,745
0.18,1.104.0,84627
0.07,1.104.0,490
0.06,1.89.0,872
0.13,1.89.0,11284
0.05,1.89.0,617
0.01,1.89.0,180
0.04,1.89.0,602
0.02,1.89.0,203
0.15,1.89.0,686
0.08,1.89.0,81839
0.01,1.102.0,29
0.09,1.102.0,270
0.09,1.102.0,270
0.02,1.102.0,265
0.02,1.102.0,300
0.04,1.102.0,744
0.01,1.102.0,402
0.01,1.102.0,140
0.02,1.102.0,45621
0.08,1.102.0,1010
0.02,1.102.0,240
0.02,1.102.0,240
0.01,1.102.0,130
0.01,1.102.0,150
0.01,1.102.0,110
0.01,1.102.0,70
0.03,1.102.0,350
0.02,1.102.0,250
0.01,1.102.0,110
0.04,1.102.0,440
0.02,1.102.0,210
0.03,1.102.0,210
0.04,1.102.0,40
0.24,1.102.0,270
0.1,1.102.0,240
0.18,1.102.0,180
0.13,1.102.0,520
0.14,1.102.0,150
0.13,1.102.0,160
0.04,1.102.0,180
0.07,1.102.0,170
0.11,1.102.0,220
0.01,1.102.0,5
0.02,1.102.0,20
0.07,1.102.0,90
0.08,1.102.0,725
0.08,1.102.0,634
0.01,1.102.0,120
0.03,1.102.0,142
0.01,1.102.0,50
0.04,1.102.0,199
0.19,1.103.0,466
0.01,1.103.0,252
0.26,1.103.0,1834
0.18,1.103.0,1375
0.06,1.103.0,1140
0.04,1.103.0,720
0.01,1.103.0,210
0.01,1.103.0,83
0.02,1.103.0,360
0.26,1.103.0,3319
0.02,1.103.0,299
0.07,1.103.0,1111
0.01,1.103.0,181
0.01,1.103.0,150
0.13,1.103.0,1875
0.02,1.103.0,300
0.14,1.103.0,1938
0.12,1.103.0,1946
0.01,1.103.0,51
0.04,1.103.0,989
0.01,1.103.0,150
0.02,1.103.0,198
0.04,1.103.0,500
0.04,1.103.0,628
0.05,1.103.0,468
0.01,1.103.0,61
0.04,1.103.0,357
0.03,1.103.0,188
0.09,1.103.0,450
0.12,1.103.0,30842
0.05,1.103.0,670
0.01,1.103.0,90
0.02,1.103.0,100
0.03,1.103.0,360
0.33,1.103.0,2857
0.05,1.103.0,840
0.02,1.103.0,240
0.15,1.103.0,1481
0.06,1.103.0,247
0.02,1.103.0,1080
0.01,1.88.0,69
0.13,1.91.2,391
0.03,1.91.2,165
0.14,1.91.2,466
0.17,1.91.2,511
0.09,1.91.2,330
0.14,1.91.2,539
0.18,1.91.2,566
0.01,1.91.2,30
0.43,1.91.2,1865
0.14,1.91.2,80909
0.05,1.20.0,1025
0.02,1.20.0,300
0.03,1.87.0,496
0.01,1.87.0,172
0.05,1.87.0,559
0.01,1.87.0,176
0.03,1.87.0,507
0.08,1.87.0,50926
0.07,1.87.0,1172
0.04,1.87.0,688
0.02,1.87.0,362
0.07,1.87.0,666
0.08,1.87.0,725
0.03,1.87.0,744
0.09,1.87.0,630
0.01,1.87.0,69
0.05,1.87.0,947
0.04,1.87.0,280
0.01,1.87.0,70
0.01,1.87.0,70
0.08,1.87.0,881
0.02,1.96.0,240
0.22,1.96.0,5958
0.01,1.96.0,69
0.03,1.84.0,210
0.01,1.97.0,61
0.01,1.53.1,80
0.04,1.53.1,460
0.03,1.53.1,302
0.02,1.53.1,240
0.05,1.53.1,975
0.06,1.53.1,700
0.01,1.53.1,130
0.01,1.53.1,130
0.02,1.53.1,250
0.01,1.53.1,120
0.05,1.53.1,658
0.04,1.53.1,480
0.07,1.53.1,920
0.08,1.53.1,990
0.01,1.53.1,150
0.03,1.53.1,420
0.01,1.53.1,130
0.04,1.53.1,632
0.17,1.53.1,2214
0.01,1.53.1,120
0.04,1.53.1,530
0.11,1.53.1,1491
0.02,1.53.1,290
0.09,1.53.1,1130
0.04,1.53.1,6193
0.03,1.53.1,420
0.01,1.53.1,36
0.03,1.53.1,350
0.04,1.53.1,480
0.03,1.53.1,370
0.03,1.53.1,390
0.01,1.53.1,120
0.01,1.53.1,132
0.03,1.53.1,240
0.01,1.53.1,80
0.03,1.53.1,260
0.02,1.94.0,252
0.04,1.94.0,154
0.03,1.94.0,140
0.1,1.94.0,383
0.01,1.95.2,58
0.03,1.95.2,2438
0.01,1.95.0,100
0.01,1.99.0,140
0.08,1.99.0,832
0.09,1.99.0,790
0.09,1.99.0,726
0.06,1.99.0,420
0.06,1.99.0,740
0.11,1.99.0,910
0.07,1.99.0,560
0.05,1.99.0,339
0.03,1.99.0,230
0.06,1.99.0,5259
0.01,1.99.0,52
0.16,1.99.0,1587
0.04,1.99.0,610
0.07,1.99.0,940
0.14,1.99.0,5023
0.03,1.99.0,166
0.02,1.99.0,90
0.04,1.99.0,1695
0.11,1.99.0,551
0.05,1.99.0,160
0.07,1.99.0,261
0.09,1.99.0,419
0.11,1.99.0,480
0.12,1.99.0,2314
0.11,1.99.0,481
0.13,1.99.0,631
0.1,1.99.0,310
0.01,1.99.0,17
0.02,1.17.1,240
0.03,1.17.0,184
0.01,1.17.0,58
0.01,1.17.0,200
0.06,1.17.0,2848
0.04,1.17.0,840
0.06,1.98.0,771
0.05,1.98.0,380
0.02,1.98.0,270
0.01,1.98.0,11
0.06,1.98.0,301
0.02,1.98.0,163
